,dq_min,dq_mean,dq_variance,dq_skewness,dq_kurtosis,slope_100_2,intercept_100_2,discharge_capacity_2,discharge_capacity_100,diff_QD_n_2,slope_100_91,intercept_100_91,ave_chg_time_5_1,max_temp_100_2,min_temp_100_2,Integral_temp_100_2,integral_resistance_2,minimum_IR,difference_IR_100_2,cycle_life
0,-0.008459643,-0.002873415,9.66E-06,-0.532058472,-1.348311892,-0.000213746,1.091380805,1.0706892,1.0759126,0.4683652,4.58E-05,1.071446775,13.374894,31.632496,31.266918,18.74203573,0.016742354,0,-7.52E-05,1852
1,-0.011003817,-0.004099615,9.68E-06,-0.429374903,-1.029116002,6.68E-06,1.080925608,1.0753012,1.0806297,0.0092883,-3.72E-05,1.084381575,13.40915,31.376623,31.076239,19.74374745,0.017038831,0,-4.20E-05,2160
2,-0.017216392,-0.004486734,1.83E-05,-1.080194279,0.348636819,1.15E-05,1.084805043,1.0799223,1.0849404,0.0081312,-3.99E-05,1.088961375,13.35824233,31.447081,31.146742,19.98598473,0.01686798,0,-1.38E-05,2237
3,-0.01896054,-0.007455785,3.61E-05,-0.439050463,-1.095415849,1.85E-05,1.084029525,1.0797229,1.0847498,0.0065301,-1.85E-06,1.084959875,12.02513967,29.982986,29.857,18.64096755,0.016369704,0,3.86E-05,1434
4,-0.013957995,-0.005750008,2.25E-05,-0.362548127,-1.333830576,2.05E-05,1.081824724,1.0784167,1.0826457,0.0058999,-3.41E-05,1.085987525,12.04185067,31.43331,31.18136,21.1544886,0.016787428,0,-5.33E-05,1709
5,-0.025178779,-0.011073913,6.62E-05,-0.149350148,-1.22752652,1.26E-05,1.07970638,1.0761266,1.0797794,0.0059438,-2.56E-05,1.082306425,10.96784967,30.786791,30.591145,21.62835835,0.016437579,0,-0.000111867,1074
6,-0.037886039,-0.015965056,0.000170264,-0.40793585,-1.238070094,-2.99E-06,1.081094977,1.0758358,1.0792426,0.0063032,-5.97E-05,1.085248875,10.076479,32.023983,31.80961,15.24513622,0.017001977,0,-0.000333346,636
7,-0.038233387,-0.016645727,0.000153643,-0.33341662,-1.120535904,-5.39E-06,1.097218822,1.0938644,1.0957625,0.0041042,-4.31E-05,1.1000733,10.02508167,31.858171,31.629635,16.05835251,0.016311171,0,-3.84E-05,870
8,-0.028724476,-0.011510601,8.72E-05,-0.427591028,-1.182170857,1.94E-05,1.086729982,1.0829742,1.0876312,0.0059757,-1.32E-05,1.088963775,11.207956,32.421921,32.301666,13.13847653,0.016978227,0,-3.37E-05,1054
9,-0.023691513,-0.008378205,7.13E-05,-0.594847887,-1.205555467,2.33E-05,1.05891904,1.0537786,1.0599719,0.0094604,-1.22E-05,1.0611708,11.668876,32.79211,32.581745,15.40024671,0.016575078,0,-0.000303578,788
